split_role,project_id,activity_id,member,package_npy_path,shape_rows,shape_cols,Land type,Land use,Land cover,Utility crossing,Construction workers,Relative groundwater level
test,04,04.5,04/04.5/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.5\Path1.npy,512,207,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,04,04.6,04/04.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.6\Path1.npy,512,212,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,04,04.7,04/04.7/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.7\Path1.npy,512,212,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,04,04.8,04/04.8/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.8\Path1.npy,512,159,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,05,05.1,05/05.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.1\Path1.npy,512,6594,Pedestrian/parking area,Public institutions and service,Brick road concrete,No,Replacement and new installation of utilities,Below utility range
test,05,05.10,05/05.10/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.10\Path1.npy,512,2249,Greenery,Public institutions and service,Grass / vegetation,No,Replacement and new installation of utilities,Below utility range
test,05,05.2,05/05.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.2\Path1.npy,512,5712,Pedestrian/parking area,Public institutions and service,Brick road concrete,unknown,Replacement and new installation of utilities,Below utility range
test,05,05.3,05/05.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.3\Path1.npy,512,4648,Pedestrian/parking area,Public institutions and service,Brick road concrete,unknown,Replacement and new installation of utilities,Below utility range
test,05,05.4,05/05.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.4\Path1.npy,512,222,Greenery,Public institutions and service,Grass / vegetation,No,Replacement and new installation of utilities,Below utility range
test,05,05.5,05/05.5/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.5\Path1.npy,512,3838,Greenery,Public institutions and service,Grass / vegetation,No,Replacement and new installation of utilities,Below utility range
test,05,05.6,05/05.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.6\Path1.npy,512,2726,Pedestrian/parking area,Public institutions and service,Brick road concrete,No,Replacement and new installation of utilities,Below utility range
test,05,05.7,05/05.7/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.7\Path1.npy,512,233,Pedestrian/parking area,Public institutions and service,Brick road concrete,unknown,Replacement and new installation of utilities,Below utility range
test,05,05.8,05/05.8/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.8\Path1.npy,512,3136,Greenery,Public institutions and service,Grass / vegetation,No,Replacement and new installation of utilities,Below utility range
test,05,05.9,05/05.9/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\05\05.9\Path1.npy,512,2831,Greenery,Public institutions and service,Grass / vegetation,Yes,Replacement and new installation of utilities,Below utility range
test,06,06.1,06/06.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\06\06.1\Path1.npy,512,255,Sidewalk,Residential - quiet suburbia,Brick road concrete,No,New installation of utilities,Below utility range
test,06,06.2,06/06.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\06\06.2\Path1.npy,512,230,Sidewalk,Residential - quiet suburbia,Brick road concrete,No,New installation of utilities,Below utility range
test,06,06.3,06/06.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\06\06.3\Path1.npy,512,250,Sidewalk,Residential - quiet suburbia,Brick road concrete,No,New installation of utilities,Below utility range
test,06,06.4,06/06.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\06\06.4\Path1.npy,512,183,Sidewalk,Residential - quiet suburbia,Brick road concrete,No,New installation of utilities,Below utility range
test,06,06.5,06/06.5/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\06\06.5\Path1.npy,512,156,Sidewalk,Residential - quiet suburbia,Brick road concrete,No,New installation of utilities,Below utility range
test,06,06.6,06/06.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\06\06.6\Path1.npy,512,181,Sidewalk,Residential - quiet suburbia,Brick road concrete,No,New installation of utilities,Below utility range
train,07,07.1,07/07.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\07\07.1\Path1.npy,512,64,Greenery,"Rural residential - small farm allotments, increased population",Grass / vegetation,No,New installation of utilities,Below utility range
train,07,07.2,07/07.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\07\07.2\Path1.npy,512,139,Greenery,"Rural residential - small farm allotments, increased population",Grass / vegetation,No,New installation of utilities,Below utility range
train,07,07.3,07/07.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\07\07.3\Path1.npy,512,1617,Greenery,"Rural residential - small farm allotments, increased population",Grass / vegetation,No,New installation of utilities,Below utility range
train,07,07.4,07/07.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\07\07.4\Path1.npy,512,120,Greenery,"Rural residential - small farm allotments, increased population",Grass / vegetation,No,New installation of utilities,Below utility range
val,08,08.1,08/08.1/Radarmaps/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.1\Path1.npy,512,2906,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,Yes,Replacement of utilities,Partially within utility range
val,08,08.2,08/08.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.2\Path1.npy,512,419,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,No,Replacement of utilities,Partially within utility range
val,08,08.3,08/08.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.3\Path1.npy,512,340,Pedestrian/parking area,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,Replacement of utilities,Partially within utility range
val,08,08.4,08/08.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.4\Path1.npy,512,152,Pedestrian/parking area,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,Replacement of utilities,Partially within utility range
val,08,08.5,08/08.5/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.5\Path1.npy,512,311,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,Replacement of utilities,Below utility range
val,08,08.6,08/08.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.6\Path1.npy,512,180,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,Replacement of utilities,Below utility range
val,08,08.7,08/08.7/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.7\Path1.npy,512,293,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,Replacement of utilities,Partially within utility range
val,08,08.8,08/08.8/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\08\08.8\Path1.npy,512,248,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,Replacement of utilities,Partially within utility range
train,09,09.1,09/09.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.1\Path1.npy,512,312,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,09,09.2,09/09.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.2\Path1.npy,512,603,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
train,09,09.3,09/09.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.3\Path1.npy,512,165,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,09,09.4,09/09.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.4\Path1.npy,512,1892,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,09,09.5,09/09.5/Radargrams/Path10.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.5\Path10.npy,512,434,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,09,09.6,09/09.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.6\Path1.npy,512,2125,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,09,09.7,09/09.7/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.7\Path1.npy,512,2125,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
train,09,09.8,09/09.8/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.8\Path1.npy,512,2261,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,09,09.9,09/09.9/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\09\09.9\Path1.npy,512,339,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
